,name,description,services,website,employees,contact_person,address,telephone,revenue
0,Alberta Health Services,"Alberta Health Services is located in Edmonton, AB, Canada and is part of the Outpatient Care Centers Industry. Alberta Health Services has   84,415 total employees across all of its locations and generates $12.16 billion in sales (USD). (Sales figure is modelled). There are    1,746 companies in the Alberta Health Services corporate family.",                                                                                                                                       Outpatient Care Centers                                                                                                                                                                                                                                                                                                                                                            Medical and Diagnostic Laboratories                                                                                                                                                                                                                                                                                                                                                            Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly                                                                                                                                                                                                                                                                                                                                                        Health maintenance organization                                                                                                                                                                                                                                                              Medical laboratories                                                                                                                           ,"
                                                    www.albertahealthservices.ca
                                            ","  84,415","
                                        
                                        
                                            Verna Yiu
                                        
                                        ","
                                            10030 107 St NW Edmonton, AB, T5J 3E4 Canada
                                            
                                            ",(780) 342-2000,$12.16 billion
0,OMERS Private Equity Inc,"
   OMERS Private Equity doesn't stop investing when it reaches the US/Canadian border. A Canada-based investment firm, OMERS Private Equity takes majority and minority equity stakes in US and Canadian companies operating in health care, media, retail, communications, and other industries. It invests between $100 million and $300 million per transaction, prefers to partner with existing management, and often holds onto its investments for the long",                                                                                                                                       Other Financial Investment Activities                                                                                                                                                                                                                                                                                                                                                            Architectural Engineering and Related Services                                                                                                                                                                                                                                                                                                                                                            Offices of Other Health Practitioners                                                                                                                                                                                                                                                                                                                                                            Office Administrative Services                                                                                                                                                                                                                                                                                                                                                            Outpatient Care Centers                                                                                                                                                                                                                     ,"
                                                    www.omersprivatemarkets.com
                                            ","   4,000","
                                        
                                        
                                            Michael Rolland
                                        
                                        ","
                                            100 Adelaide St W Suite 900 Toronto, ON, M5H 0E2 Canada
                                            
                                            ",(416) 369-2400,$5.69 billion
0,The Winnipeg Regional Health Authority,"The Winnipeg Regional Health Authority is located in Winnipeg, MB, Canada and is part of the General Medical and Surgical Hospitals Industry. The Winnipeg Regional Health Authority has   28,000 total employees across all of its locations and generates $3.11 billion in sales (USD). (Sales figure is modelled). There are       36 companies in the The Winnipeg Regional Health Authority corporate family.",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.wrha.mb.ca
                                            ","  28,000","
                                        
                                        
                                            Vickie Kaminski
                                        
                                        ","
                                            650 Main St 4th Fl Winnipeg, MB, R3B 1E2 Canada
                                            
                                            ",(204) 926-7000,$3.11 billion
0,Provincial Health Services Authority,"Provincial Health Services Authority is located in Vancouver, BC, Canada and is part of the Other Ambulatory Health Care Services Industry. Provincial Health Services Authority has   10,000 total employees across all of its locations and generates $2.75 billion in sales (USD).  There are       43 companies in the Provincial Health Services Authority corporate family.",                                                                                                                                       Other Ambulatory Health Care Services                                                                                                                                                                                                                                                                                                                                                            Ambulatory Health Care Services                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        Medical services organization                                                                                                                           ,"
                                                    www.phsa.ca
                                            ","  10,000","
                                        
                                        
                                            Carl Roy
                                        
                                        ","
                                            200-1333 Broadway W Vancouver, BC, V6H 4C1 Canada
                                            
                                            ",(604) 675-7400,$2.75 billion
0,Young Men's Christian Association of Edmonton,"Young Men's Christian Association of Edmonton is located in Edmonton, AB, Canada and is part of the Civic and Social Organizations Industry. Young Men's Christian Association of Edmonton has    1,640 total employees across all of its locations and generates $2.36 billion in sales (USD). (Sales figure is modelled). There are       15 companies in the Young Men's Christian Association of Edmonton corporate family.",                                                                                                                                       Civic and Social Organizations                                                                                                                                                                                                                                                                                                                                                            Other Amusement and Recreation Industries                                                                                                                                                                                                                                                                                                                                                            Employment Services                                                                                                                                                                                                                                                                                                                                                            Vocational Rehabilitation Services                                                                                                                                                                                                                                                                                                                                                            Child Day Care Services                                                                                                                                                                                                                     ,"
                                                    northernalberta.ymca.ca
                                            ","   1,640","
                                        
                                        
                                            Nick Parkinson
                                        
                                        ","
                                            10211 105 St NW Edmonton, AB, T5J 1E3 Canada
                                            
                                            ",(780) 429-9622,$2.36 billion
0,Centre de Santé et de Services Sociaux de Laval,"Centre de Santé et de Services Sociaux de Laval is located in Laval, QC, Canada and is part of the Other Ambulatory Health Care Services Industry. Centre de Santé et de Services Sociaux de Laval has   10,357 total employees across all of its locations and generates $2.31 billion in sales (USD). (Sales figure is modelled). There are    2,909 companies in the Centre de Santé et de Services Sociaux de Laval corporate family.",                                                                                                                                       Other Ambulatory Health Care Services                                                                                                                                                                                                                                                                                                                                                            Executive Legislative and Other General Government Support                                                                                                                                                                                                                                                                                                                                                            Ambulatory Health Care Services                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        Medical services organization                                                                                                                           ,"
                                                    www.lavalensante.com
                                            ","  10,357","
                                        
                                        
                                            Sylvie Bourassa
                                        
                                        ","
                                            1755 boul René-Laennec Laval, QC, H7M 3L9 Canada
                                            
                                            ",(450) 668-1010,$2.31 billion
0,Vancouver Island Health Authority,"Vancouver Island Health Authority is located in Victoria, BC, Canada and is part of the Outpatient Care Centers Industry. Vancouver Island Health Authority has   19,000 total employees across all of its locations and generates $1.93 billion in sales (USD).  There are    2,931 companies in the Vancouver Island Health Authority corporate family.",                                                                                                                                       Outpatient Care Centers                                                                                                                                                                                                                                                                                                                                                            General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Offices of Physicians                                                                                                                                                                                                                                                                                                                                                        Health maintenance organization                                                                                                                                                                                                                                                              General medical and surgical hospitals                                                                                                                           ,"
                                                    www.islandhealth.ca
                                            ","  19,000","
                                        
                                        
                                            Brendan Carr
                                        
                                        ","
                                            1952 Bay St Victoria, BC, V8R 1J8 Canada
                                            
                                            ",(250) 519-7700,$1.93 billion
0,University Health Network,"University Health Network is located in Toronto, ON, Canada and is part of the General Medical and Surgical Hospitals Industry. University Health Network has   15,000 total employees across all of its locations and generates $1.87 billion in sales (USD).  There are       30 companies in the University Health Network corporate family.",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Specialty (except Psychiatric and Substance Abuse) Hospitals                                                                                                                                                                                                                                                                                                                                                            Outpatient Care Centers                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                                                                                                                                                              Cancer hospital                                                                                                                           ,"
                                                    www.uhnresearch.ca
                                            ","  15,000","
                                        
                                        
                                            Kevin Smith
                                        
                                        ","
                                            200 Elizabeth St Toronto, ON, M5G 2C4 Canada
                                            
                                            ",(416) 340-3111,$1.87 billion
0,Interior Health Authority,"Interior Health Authority is located in Kelowna, BC, Canada and is part of the General Medical and Surgical Hospitals Industry. Interior Health Authority has   26,300 total employees across all of its locations and generates $1.76 billion in sales (USD).  There are      106 companies in the Interior Health Authority corporate family.",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.interiorhealth.ca
                                            ","  26,300","
                                        
                                        
                                            Susan Brown
                                        
                                        ","
                                            505 Doyle Ave Kelowna, BC, V1Y 0C5 Canada
                                            
                                            ",(250) 469-7070,$1.76 billion
0,Centre Intégré de Santé et de Services Sociaux de la Montérégie-Centre,"Centre Intégré de Santé et de Services Sociaux de la Montérégie-Centre is located in Greenfield Park, QC, Canada and is part of the Administration of Human Resource Programs Industry. Centre Intégré de Santé et de Services Sociaux de la Montérégie-Centre has    8,900 total employees across all of its locations and generates $1.62 billion in sales (USD). (Sales figure is modelled). There are        5 companies in the Centre Intégré de Santé et de Services",                                                                                                                                       Administration of Human Resource Programs                                                                                                                                                                                                                                                                                                                                                            Specialty (except Psychiatric and Substance Abuse) Hospitals                                                                                                                                                                                                                                                                                                                                                            Individual and Family Services                                                                                                                                                                                                                                                                                                                                                        Public health agency administration government                                                                                                                                                                                                                                                              Specialty hospitals except psychiatric                                                                                                                           ,"
                                                    www.santemonteregie.qc.ca
                                            ","   8,900","
                                        
                                        
                                            Richard Deschamps
                                        
                                        ","
                                            3141 boul Taschereau bureau 220 Greenfield Park, QC, J4V 2H2 Canada
                                            
                                            ",(450) 466-5000,$1.62 billion
0,Prairie Mountain Health,"Prairie Mountain Health is located in Souris, MB, Canada and is part of the Outpatient Care Centers Industry. Prairie Mountain Health has    8,500 total employees across all of its locations and generates $1.62 billion in sales (USD). (Sales figure is modelled). There are       31 companies in the Prairie Mountain Health corporate family.",                                                                                                                                       Outpatient Care Centers                                                                                                                                                                                                                                                                                                                                                            Ambulatory Health Care Services                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        Health maintenance organization                                                                                                                           ,"
                                                    www.prairiemountainhealth.ca
                                            ","   8,500","
                                        
                                        
                                            Penny Gilson
                                        
                                        ","
                                            192 1st Ave W Souris, MB, R0K 2C0 Canada
                                            
                                            ",(204) 483-5000,$1.62 billion
0,Eastern Regional Integrated Health Authority,"Eastern Regional Integrated Health Authority is located in St. John's, NL, Canada and is part of the General Medical and Surgical Hospitals Industry. Eastern Regional Integrated Health Authority has   13,500 total employees across all of its locations and generates $1.50 billion in sales (USD). (Sales figure is modelled). There are       28 companies in the Eastern Regional Integrated Health Authority corporate family.",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Psychiatric and Substance Abuse Hospitals                                                                                                                                                                                                                                                                                                                                                            Office Administrative Services                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                                                                                                                                                              Mental hospital except for the mentally handicapped                                                                                                                           ,"
                                                    www.easternhealth.ca
                                            ","  13,500","
                                        
                                        
                                            Vickie Kaminski
                                        
                                        ","
                                            306 Waterford Bridge Rd St. John's, NL, A1E 4J8 Canada
                                            
                                            ",(709) 777-3300,$1.50 billion
0,McGill University Health Centre,"McGill University Health Centre is located in Montréal, QC, Canada and is part of the General Medical and Surgical Hospitals Industry. McGill University Health Centre has   13,000 total employees across all of its locations and generates $1.44 billion in sales (USD). (Sales figure is modelled). There are       15 companies in the McGill University Health Centre corporate family.",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.muhc.ca
                                            ","  13,000","
                                        
                                        
                                            Pierre Gfeller
                                        
                                        ","
                                            1650 av Cedar Montréal, QC, H3G 1A4 Canada
                                            
                                            ",(514) 934-1934,$1.44 billion
0,Regional Health Authority NB,"Regional Health Authority NB is located in Fredericton, NB, Canada and is part of the General Medical and Surgical Hospitals Industry. Regional Health Authority NB has   13,000 total employees across all of its locations and generates $1.44 billion in sales (USD). (Sales figure is modelled). There are      581 companies in the Regional Health Authority NB corporate family.",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.stancassidy.ca
                                            ","  13,000","
                                        
                                        
                                            Karen McGrath
                                        
                                        ","
                                            180 Woodbridge St Fredericton, NB, E3B 4R3 Canada
                                            
                                            ",(506) 623-5500,$1.44 billion
