,name,description,services,website,employees,contact_person,address,telephone,revenue
0,The Children's Aid Society of the Region of Peel,"The Children's Aid Society of the Region of Peel is located in Mississauga, ON, Canada and is part of the Individual and Family Services Industry. The Children's Aid Society of the Region of Peel has      520 total employees across all of its locations and generates $39.93 million in sales (USD). (Sales figure is modelled). There are        3 companies in the The Children's Aid Society of the Region of Peel corporate family.",                                                                                                                                       Individual and Family Services                                                                                                                                                                                                                                                                                                                                                            Social Assistance                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        Childrens' aid society                                                                                                                           ,"
                                                    www.peelcas.org
                                            ",     520,"
                                        
                                        
                                            Rav Bains
                                        
                                        ","
                                            25 Capston Dr Mississauga, ON, L5W 0H3 Canada
                                            
                                            ",(905) 363-6131,$39.93 million
0,The Canadian National Institute For The Blind,"The Canadian National Institute For The Blind is located in Toronto, ON, Canada and is part of the Vocational Rehabilitation Services Industry. The Canadian National Institute For The Blind has      750 total employees across all of its locations and generates $39.87 million in sales (USD). (Sales figure is modelled). There are      105 companies in the The Canadian National Institute For The Blind corporate family.",                                                                                                                                       Vocational Rehabilitation Services                                                                                                                                                                                                                                                                                                                                                            Social Assistance                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        Vocational rehabilitation agency                                                                                                                           ,"
                                                    www.cnib.ca
                                            ",     750,"
                                        
                                        
                                            John M. Rafferty
                                        
                                        ","
                                            1929 Bayview Ave Toronto, ON, M4G 3E8 Canada
                                            
                                            ",(416) 486-2500,$39.87 million
0,Collège Lasalle,"Collège Lasalle is located in Montréal, QC, Canada and is part of the Technical and Trade Schools Industry. Collège Lasalle has      325 total employees across all of its locations and generates $39.41 million in sales (USD). (Sales figure is modelled). There are        3 companies in the Collège Lasalle corporate family.",                                                                                                                                       Technical and Trade Schools                                                                                                                                                                                                                                                                                                                                                            Child Day Care Services                                                                                                                                                                                                                                                                                                                                                            Educational Services                                                                                                                                                                                                                                                                                                                                                        Vocational schools nec                                                                                                                                                                                                                                                              Child day care services                                                                                                                           ,"
                                                    www.lasallecollege.com
                                            ",     325,"
                                        
                                        
                                            Jacques Marchand
                                        
                                        ","
                                            2120 rue Sainte-Catherine O Montréal, QC, H3H 1M7 Canada
                                            
                                            ",(514) 939-2006,$39.41 million
0,Centre de Sante et de Services Sociaux du Rocher-Perce,"Centre de Sante et de Services Sociaux du Rocher-Perce is located in Chandler, QC, Canada and is part of the General Medical and Surgical Hospitals Industry. Centre de Sante et de Services Sociaux du Rocher-Perce has      350 total employees across all of its locations and generates $38.88 million in sales (USD). (Sales figure is modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.csssrocherperce.org
                                            ",     350,"
                                        
                                        
                                            Francois Aspiros
                                        
                                        ","
                                            451 rue Monseigneur-Ross E Chandler, QC, G0C 1K0 Canada
                                            
                                            
                                            
                                        ",(418) 689-2261,$38.88 million
0,Hillsdale Estates Inc,"Hillsdale Estates Inc is located in Oshawa, ON, Canada and is part of the Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly Industry. Hillsdale Estates Inc has      600 total employees across all of its locations and generates $38.57 million in sales (USD). (Sales figure is modelled). ",                                                                                                                                       Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly                                                                                                                                                                                                                                                                                                                                                            Nursing and Residential Care Facilities                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        Aged home                                                                                                                           ,"
                                                    www.hillsdaleestatesfamilycouncil.com
                                            ",     600,"
                                        
                                        
                                            Jennifer Walker
                                        
                                        ","
                                            590 Oshawa Blvd N Suite 101 Oshawa, ON, L1G 5T9 Canada
                                            
                                            
                                            
                                        ",(905) 579-1777,$38.57 million
0,9104-8306 Québec Inc,"9104-8306 Québec Inc is located in Montréal, QC, Canada and is part of the Community Food and Housing, and Emergency and Other Relief Services Industry. 9104-8306 Québec Inc has      500 total employees across all of its locations and generates $38.40 million in sales (USD). (Sales figure is modelled). There are        2 companies in the 9104-8306 Québec Inc corporate family.",                                                                                                                                       Community Food and Housing and Emergency and Other Relief Services                                                                                                                                                                                                                                                                                                                                                            Social Assistance                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        First aid service                                                                                                                           ,"
                                                    www.codebleu.ca
                                            ",     500,"
                                        
                                        
                                            Martin Legault
                                        
                                        ","
                                            1896 rue Sainte-Catherine E Montréal, QC, H2K 2H5 Canada
                                            
                                            ",(514) 523-0415,$38.40 million
0,"Children's Aid Society of the Regional Municipality of Waterloo, The","Children's Aid Society of the Regional Municipality of Waterloo, The is located in Kitchener, ON, Canada and is part of the Individual and Family Services Industry. Children's Aid Society of the Regional Municipality of Waterloo, The has      500 total employees across all of its locations and generates $38.40 million in sales (USD). (Sales figure is modelled). There are        5 companies in the Children's Aid Society of the Regional Municipality",                                                                                                                                       Individual and Family Services                                                                                                                                                                                                                                                                                                                                                            Social Assistance                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        Family service agency                                                                                                                           ,"
                                                    www.facswaterloo.org
                                            ",     500,"
                                        
                                        
                                            Alison Scott
                                        
                                        ","
                                            200 Ardelt Ave Kitchener, ON, N2C 2L9 Canada
                                            
                                            ",(519) 576-0540,$38.40 million
0,Hay River Health &amp; Social Services Authority,"Hay River Health &amp; Social Services Authority is located in Hay River, NT, Canada and is part of the Social Advocacy Organizations Industry. Hay River Health &amp; Social Services Authority has      185 total employees across all of its locations and generates $38.31 million in sales (USD). (Sales figure is modelled). ",                                                                                                                                       Social Advocacy Organizations                                                                                                                                                                                                                                                                                                                                                            Outpatient Care Centers                                                                                                                                                                                                                                                                                                                                                            Religious Grantmaking Civic Professional and Similar Organizations                                                                                                                                                                                                                                                                                                                                                            Other Services (except Public Administration)                                                                                                                                                                                                                                                                                                                                                        Social services nec                                                                                                                           ,"
                                                    www.hrhssa.org
                                            ",     185,"
                                        
                                        
                                            Al Woods
                                        
                                        ","
                                            3 Gaetz Dr Hay River, NT, X0E 0R8 Canada
                                            
                                            
                                            
                                        ",(867) 874-7100,$38.31 million
0,Centre de Santé et de Services Sociaux du Granit,"Centre de Santé et de Services Sociaux du Granit is located in Lac-Mégantic, QC, Canada and is part of the General Medical and Surgical Hospitals Industry. Centre de Santé et de Services Sociaux du Granit has      550 total employees across all of its locations and generates $38.24 million in sales (USD).  There are        2 companies in the Centre de Santé et de Services Sociaux du Granit corporate family.",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.fondationcsssgranit.com
                                            ",     550,"
                                        
                                        
                                            Berthier Arguin
                                        
                                        ","
                                            3569 rue Laval Lac-Mégantic, QC, G6B 1A5 Canada
                                            
                                            ",(819) 583-0330,$38.24 million
0,"Canadian Mental Health Association Toronto Branch, The","Canadian Mental Health Association Toronto Branch, The is located in North York, ON, Canada and is part of the Outpatient Care Centers Industry. Canadian Mental Health Association Toronto Branch, The has      200 total employees across all of its locations and generates $38.04 million in sales (USD). (Sales figure is modelled). There are        3 companies in the Canadian Mental Health Association Toronto Branch, The corporate family.",                                                                                                                                       Outpatient Care Centers                                                                                                                                                                                                                                                                                                                                                            Ambulatory Health Care Services                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        Health maintenance organization                                                                                                                           ,"
                                                    toronto.cmha.ca
                                            ",     200,"
                                        
                                        
                                            Steve Lurie
                                        
                                        ","
                                            700 Lawrence Ave W Suite 480 North York, ON, M6A 3B4 Canada
                                            
                                            ",(416) 789-7957,$38.04 million
0,Insight Medical Imaging,"Insight Medical Imaging is located in Edmonton, AB, Canada and is part of the Offices of Physicians Industry. Insight Medical Imaging has      200 total employees across all of its locations and generates $38.04 million in sales (USD). (Sales figure is modelled). ",                                                                                                                                       Offices of Physicians                                                                                                                                                                                                                                                                                                                                                            Ambulatory Health Care Services                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        Radiologist                                                                                                                           ,"
                                                    www.x-ray.ca
                                            ",     200,"
                                        
                                        
                                            Thomas C. Spiers
                                        
                                        ","
                                            200 Meadowlark Shopping Ctr NW Edmonton, AB, T5R 5W9 Canada
                                            
                                            
                                            
                                        ",(780) 489-3391,$38.04 million
0,Central Community Care Access Centre,"Central Community Care Access Centre is located in North York, ON, Canada and is part of the Outpatient Care Centers Industry. Central Community Care Access Centre has      200 total employees across all of its locations and generates $38.04 million in sales (USD). (Sales figure is modelled). ",                                                                                                                                       Outpatient Care Centers                                                                                                                                                                                                                                                                                                                                                            Ambulatory Health Care Services                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        Health maintenance organization                                                                                                                           ,"
                                                    www.healthcareathome.ca
                                            ",     200,"
                                        
                                        
                                            Cathy Szabo
                                        
                                        ","
                                            45 Sheppard Ave E Suite 700 North York, ON, M2N 5W9 Canada
                                            
                                            
                                            
                                        ",(416) 222-2241,$38.04 million
0,World Vision Canada -,"World Vision Canada - is located in Mississauga, ON, Canada and is part of the Community Food and Housing, and Emergency and Other Relief Services Industry. World Vision Canada - has      518 total employees across all of its locations and generates $37.62 million in sales (USD). (Sales figure is modelled). There are        9 companies in the World Vision Canada - corporate family.",                                                                                                                                       Community Food and Housing and Emergency and Other Relief Services                                                                                                                                                                                                                                                                                                                                                            Social Assistance                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        Temporary relief service                                                                                                                           ,"
                                                    www.worldvision.ca
                                            ",     518,"
                                        
                                        
                                            Ron McKerlie
                                        
                                        ","
                                            1 World Dr Suite 2500 Mississauga, ON, L5T 2Y4 Canada
                                            
                                            ",(905) 565-6100,$37.62 million
